Wavelength;Band 1 (70);Band 2 (200);Band 3 (350)
40.0000;0;0;0
40.4000;0;0;0
40.8040;0;0;0
41.2120;0;0;0
41.6242;0;0;0
42.0404;0;0;0
42.4608;0;0;0
42.8854;0;0;0
43.3143;0;0;0
43.7474;0;0;0
44.1849;0;0;0
44.6267;0;0;0
45.0730;0;0;0
45.5237;0;0;0
45.9790;0;0;0
46.4388;0;0;0
46.9031;0;0;0
47.3722;0;0;0
47.8459;0;0;0
48.3244;0;0;0
48.8076;0;0;0
49.2957;0;0;0
49.7886;0;0;0
50.2865;0;0;0
50.7894;0;0;0
51.2973;0;0;0
51.8103;0;0;0
52.3284;0;0;0
52.8516;1;0;0
53.3802;1;0;0
53.9140;1;0;0
54.4531;1;0;0
54.9976;1;0;0
55.5476;1;0;0
56.1031;1;0;0
56.6641;1;0;0
57.2308;1;0;0
57.8031;1;0;0
58.3811;1;0;0
58.9649;1;0;0
59.5545;1;0;0
60.1501;1;0;0
60.7516;1;0;0
61.3591;1;0;0
61.9727;1;0;0
62.5924;1;0;0
63.2184;1;0;0
63.8505;1;0;0
64.4890;1;0;0
65.1339;1;0;0
65.7853;1;0;0
66.4431;1;0;0
67.1076;1;0;0
67.7786;1;0;0
68.4564;1;0;0
69.1410;1;0;0
69.8324;1;0;0
70.5307;1;0;0
71.2360;1;0;0
71.9484;1;0;0
72.6679;1;0;0
73.3945;1;0;0
74.1285;1;0;0
74.8698;1;0;0
75.6185;1;0;0
76.3747;1;0;0
77.1384;1;0;0
77.9098;1;0;0
78.6889;1;0;0
79.4758;1;0;0
80.2705;1;0;0
81.0732;1;0;0
81.8840;1;0;0
82.7028;1;0;0
83.5298;1;0;0
84.3651;1;0;0
85.2088;1;0;0
86.0609;1;0;0
86.9215;1;0;0
87.7907;1;0;0
88.6686;0;0;0
89.5553;0;0;0
90.4508;0;0;0
91.3554;0;0;0
92.2689;0;0;0
93.1916;0;0;0
94.1235;0;0;0
95.0647;0;0;0
96.0154;0;0;0
96.9756;0;0;0
97.9453;0;0;0
98.9248;0;0;0
99.9140;0;0;0
100.9131;0;0;0
101.9223;0;0;0
102.9415;0;0;0
103.9709;0;0;0
105.0106;0;0;0
106.0607;0;0;0
107.1213;0;0;0
108.1926;0;0;0
109.2745;0;0;0
110.3672;0;0;0
111.4709;0;0;0
112.5856;0;0;0
113.7115;0;0;0
114.8486;0;0;0
115.9971;0;0;0
117.1570;0;0;0
118.3286;0;0;0
119.5119;0;0;0
120.7070;0;0;0
121.9141;0;0;0
123.1332;0;0;0
124.3645;0;0;0
125.6082;0;0;0
126.8643;0;0;0
128.1329;0;0;0
129.4142;0;0;0
130.7084;0;0;0
132.0155;0;0;0
133.3356;0;0;0
134.6690;0;0;0
136.0157;0;0;0
137.3758;0;0;0
138.7496;0;0;0
140.1371;0;0;0
141.5385;0;0;0
142.9538;0;0;0
144.3834;0;0;0
145.8272;0;0;0
147.2855;0;0;0
148.7583;0;0;0
150.2459;0;1;0
151.7484;0;1;0
153.2659;0;1;0
154.7985;0;1;0
156.3465;0;1;0
157.9100;0;1;0
159.4891;0;1;0
161.0840;0;1;0
162.6948;0;1;0
164.3218;0;1;0
165.9650;0;1;0
167.6246;0;1;0
169.3009;0;1;0
170.9939;0;1;0
172.7038;0;1;0
174.4309;0;1;0
176.1752;0;1;0
177.9369;0;1;0
179.7163;0;1;0
181.5134;0;1;0
183.3286;0;1;0
185.1619;0;1;0
187.0135;0;1;0
188.8836;0;1;0
190.7725;0;1;0
192.6802;0;1;0
194.6070;0;1;0
196.5531;0;1;0
198.5186;0;1;0
200.5038;0;1;0
202.5088;0;1;0
204.5339;0;1;0
206.5792;0;1;0
208.6450;0;1;0
210.7315;0;1;0
212.8388;0;1;0
214.9672;0;1;0
217.1169;0;1;0
219.2880;0;1;0
221.4809;0;1;0
223.6957;0;1;0
225.9327;0;1;0
228.1920;0;1;0
230.4739;0;1;0
232.7787;0;1;0
235.1064;0;1;0
237.4575;0;1;0
239.8321;0;1;0
242.2304;0;1;0
244.6527;0;1;0
247.0992;0;1;0
249.5702;0;1;0
252.0659;0;0;0
254.5866;0;0;0
257.1325;0;0;0
259.7038;0;0;0
262.3008;0;0;1
264.9238;0;0;1
267.5731;0;0;1
270.2488;0;0;1
272.9513;0;0;1
275.6808;0;0;1
278.4376;0;0;1
281.2220;0;0;1
284.0342;0;0;1
286.8745;0;0;1
289.7433;0;0;1
292.6407;0;0;1
295.5671;0;0;1
298.5228;0;0;1
301.5080;0;0;1
304.5231;0;0;1
307.5683;0;0;1
310.6440;0;0;1
313.7505;0;0;1
316.8880;0;0;1
320.0568;0;0;1
323.2574;0;0;1
326.4900;0;0;1
329.7549;0;0;1
333.0524;0;0;1
336.3830;0;0;1
339.7468;0;0;1
343.1443;0;0;1
346.5757;0;0;1
350.0415;0;0;1
353.5419;0;0;1
357.0773;0;0;1
360.6481;0;0;1
364.2545;0;0;1
367.8971;0;0;1
371.5761;0;0;1
375.2918;0;0;1
379.0447;0;0;1
382.8352;0;0;1
386.6635;0;0;1
390.5302;0;0;1
394.4355;0;0;1
398.3798;0;0;1
402.3636;0;0;1
406.3873;0;0;1
410.4511;0;0;1
414.5556;0;0;1
418.7012;0;0;1
422.8882;0;0;1
427.1171;0;0;1
431.3883;0;0;1
435.7021;0;0;1
440.0592;0;0;0
444.4598;0;0;0
448.9044;0;0;0
453.3934;0;0;0
457.9273;0;0;0
462.5066;0;0;0
467.1317;0;0;0
471.8030;0;0;0
476.5210;0;0;0
481.2862;0;0;0
486.0991;0;0;0
490.9601;0;0;0
495.8697;0;0;0
500.8284;0;0;0